F a l a ; C a n d i d a t o ; S e n t e n ç a ; S e n t i m e n t o
3 2 ; A É C I O      N E V E S ; N ã o      c a n d i d a t a      n ó s      t e m o s      q u e      t r a t a r      a s      c o i s a s      c o m o      e l a s      s ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; N ó s      s e m p r e      v a l o r i z a m o s      a      e d u c a ç ã o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; O      P r o u n i      v a m o s      d e      n o v o      é      i n s p i r a ç ã o      d e      u m      p r o j e t o      d e      u m      g o v e r n o      t u c a n o      e m      G o i á s      a m p l i a d o      e      p r e c i s a r á      s e r      a i n d a      m a i s      a m p l i a d o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; M a s      e l e      t e m      u m      p r o b l e m a      c a n d i d a t a      q u e      o      m e u      g o v e r n o      q u e      e x i s t e      j á      q u e      o      d a      s e n h o r a      n i n g u é m      c o n h e c e      n ó s      v a m o s      c u i d a r      d e      a p o i a r      e s s e s      j o v e n s      p o r q u e      m u i t o s      e s t ã o      d e i x a n d o      a      u n i v e r s i d a d e      p o r q u e      n ã o      t ê m      c o m o      c h e g a r      n a      u n i v e r s i d a d e      n ã o      t e m      c o m o      c o m p r a r      o      m a t e r i a l      d i d á t i c o      n e c e s s á r i o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; N ó s      v a m o s      d a r      a l é m      d e      a m p l i a r      o      P r o u n i      n ó s      v a m o s      d a r      u m      a p o i o      a      e s s e s      j o v e n s      p a r a      q u e      e l e s      p o s s a m      c o m p l e t a r . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 3 ; A É C I O      N E V E S ; C a n d i d a t a      n e m      o      f a t o      d e      t e r      p a s s a d o      t o d a      a      s u a      v i d a      l o n g e      d e      M i n a s      G e r a i s      j u s t i f i c a      o f e n d e r      t a n t o      a      r e a l i d a d e      d e      M i n a s      G e r a i s      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 3 ; A É C I O      N E V E S ; A      s e n h o r a      n o      ú l t i m o      d e b a t e      f e z      u m a      o f e n s a      a o s      f a t o s . ; { ' n e g ' :      0 . 2 1 6 ,      ' n e u ' :      0 . 7 8 4 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
3 3 ; A É C I O      N E V E S ; E      t e v e      o      c o n s t r a n g i m e n t o      a c r e d i t o      e u      d e      l e r      n o      d i a      s e g u i n t e      u m      d o c u m e n t o      d o      m i n i s t r o      d o      T r i b u n a l      d e      C o n t a s      d i z e n d o      q u e      a p r o v o u      a s      n o s s a s      c o n t a s      a l i á s      f o r a m      a p r o v a d a s      p o r      u n a n i m i d a d e      p e l a      c o r r e ç ã o      d o s      n o s s o s      i n v e s t i m e n t o s      c a n d i d a t a . ; { ' n e g ' :      0 . 0 6 2 ,      ' n e u ' :      0 . 9 3 7 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
3 3 ; A É C I O      N E V E S ; Q u e m      n ã o      g a s t a      e m      s a ú d e      é      o      s e u      g o v e r n o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 3 ; A É C I O      N E V E S ; E m      2 0 0 9      o      T C U      p e d i u      q u e      v o c ê s      r e t i r a s s e m      d o      c á l c u l o      d o      g a s t o      c o m      s a ú d e      r e c u r s o s      p a r a      o      B o l s a      F a m í l i a      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 3 ; A É C I O      N E V E S ; E s s a      é      a      g r a n d e      r e a l i d a d e . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 3 ; A É C I O      N E V E S ; V o c ê s      d e m o r a r a m      a      r e g u l a m e n t a r      a      E m e n d a      2 9      m u i t o      m a i s      d o      e r a      c a b í v e l      a c e i t á v e l . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 3 ; A É C I O      N E V E S ; M i n a s      G e r a i s      é      u m      e s t a d o      e x t r a o r d i n á r i o      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 3 ; A É C I O      N E V E S ; É      o      e s t a d o      q u e      s ó      c r e s c e . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 3 ; A É C I O      N E V E S ; T e m      a      m e l h o r      e d u c a ç ã o      f u n d a m e n t a l      d o      B r a s i l . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 3 ; A É C I O      N E V E S ; A      m e l h o r      s a ú d e      d a      r e g i ã o ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 3 ; A É C I O      N E V E S ; S u d e s t e      é      o      q u e      t e v e      u m      g o v e r n a d o r      m u i t o      c o r r e t o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
